Method,Accuracy(%),Avg_Inference(ms),Std_Inference(ms),Timing_Repeats,False_Congestion_Count,False_Congestion_Rate(%),Unnecessary_Switches,Unnecessary_Switch_Rate(%),Acc_Label_0(%),Acc_Label_1(%),Acc_Label_2(%),Acc_Label_3(%),Exit1(%),Exit2(%),Exit3(%)
Baseline 1 (Threshold),42.2,0.006,0.0023,5,8,14.3,1,1.8,85.7,29.0,37.9,52.9,,,
Baseline 2 (LSTM Full),96.6,0.8571,0.1549,5,0,0.0,0,0.0,100.0,98.1,94.8,82.4,,,
Baseline 3 (Early Exit Fixed theta),95.2,1.1144,0.2216,5,0,0.0,0,0.0,100.0,95.7,96.6,64.7,0.3,81.8,17.9
Baseline 4 (Early Exit Dynamic theta),95.4,1.2179,0.2198,5,0,0.0,0,0.0,100.0,96.3,96.6,64.7,0.6,88.9,10.5
Baseline 5 (Shallow-Deep Networks SDN),94.9,1.3822,0.239,5,4,7.1,0,0.0,92.9,98.1,90.5,100.0,44.7,38.7,16.5
