scenario_id,scenario,samples,fixed_accuracy,dynamic_accuracy,fixed_exit1_rate,fixed_exit2_rate,fixed_exit3_rate,dynamic_exit1_rate,dynamic_exit2_rate,dynamic_exit3_rate
0,startup_surge,104,0.9615,0.9615,0.1827,0.7404,0.0769,0.2212,0.7308,0.0481
1,emergency_ramp,83,0.9277,0.9518,0.2289,0.6988,0.0723,0.2651,0.6988,0.0361
2,lunch_restart,84,0.9643,0.9643,0.2024,0.7262,0.0714,0.2857,0.6667,0.0476
3,imbalanced_ap_load,80,0.975,0.975,0.2125,0.7,0.0875,0.2625,0.675,0.0625
all,all,351,0.9573,0.963,0.2051,0.7179,0.0769,0.2564,0.6952,0.0484
