model,paper_basis,threshold_policy,test_accuracy,label2_accuracy,label3_accuracy,exit1_rate,exit2_rate,exit3_rate,pc_measured_ms_per_sample,simulated_layer_time_ms,interpretation
Baseline LSTM (no early exit),"standard full-depth LSTM, unweighted (class-weight-power=0.0, 2026-08-30 re-sweep) to match Proposed",none; always runs all 3 LSTM layers,93.7%,93.9%,78.6%,0.0%,0.0%,100.0%,0.3811,8.000,accuracy upper-bound baseline; no early stopping; 5-seed mean acc 92.9%+-1.2 (2551+gate); deploy seed2 93.7%. Pi INT8 latency 0.851ms.
"SDN (Kaya et al. 2019, adapted)","SDN (Shallow-Deep Networks, ICML 2019) adapted to the shared 3-layer LSTM base: pooling internal classifiers, curriculum-ramped depth-weighted IC loss (max 0.15/0.30, final 1.0), val-calibrated confidence threshold. Backbone/hparams identical to Proposed (controlled).",max softmax confidence >= 0.70,94.8%,98.5%,81.0%,55.6%,33.7%,10.7%,3.1027,3.315,prior-art comparison: matches/slightly leads Proposed on accuracy (5-seed 93.3%+-0.9 vs EE Fixed 92.1%+-0.6 / Dynamic 92.6%+-0.7); label-3 F1 84.2%+-1.5 vs EE 82.9/85.2 (label persistence gate lifted all 3 models +1.5~2.4pt). Pi INT8 latency 0.516ms this round (T=0.70 front-loads exit1 56%); per-exit EE is lighter at every stage.
Proposed Early Exit Fixed theta,our AP Early Exit LSTM ablation,fixed entropy theta,93.2%,94.7%,78.6%,28.5%,40.5%,31.0%,3.5265,4.668,"proposed model without dynamic threshold; uniform exit-loss weights (0.3/0.3/0.4); 5-seed mean acc 92.1%+-0.6 / L3 F1 82.9%+-2.0 / L3 recall 75.2%+-2.9 (label gate, up from 69.6). Pi INT8 latency 0.662ms -- -22% vs Baseline 0.851ms."
Proposed Early Exit Dynamic theta,our variant on early-exit LSTM,dynamic theta adjusted by recent traffic variation,93.2%,93.9%,83.3%,30.4%,53.2%,16.4%,3.4766,4.049,proposed method; uniform exit-loss weights (0.3/0.3/0.4); 5-seed mean acc 92.6%+-0.7 / L3 F1 85.2%+-1.8 (project best); deploy acc 93.2% / L3 recall 83.3 / F1 87.5. Pi INT8 latency 0.658ms (p95 1.04ms).
