timestamp,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,jitter_ms,packet_loss_udp_percent,poll_interval_s,tx_retries_per_s,tx_failed_per_s,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,scenario,throughput_score,occupancy_score,retry_failed_score,jitter_score,congestion_score,label
2026-08-22 19:17:48,44.85,50.0,instantaneous_fallback,64.5,64.0,,4.0,2023.25,2044.25,-54.0,2,-0.5,-54.1,low_load,0.299,0.5,0.6508,0.2133,0.447,1
2026-08-22 19:17:53,38.02,53.33,instantaneous_fallback,113.5,108.0,,5.0,2002.0,2014.8,-53.5,2,0.5,-53.8,low_load,0.2535,0.5333,0.6427,0.36,0.4732,1
2026-08-22 19:17:58,46.07,56.67,instantaneous_fallback,143.75,228.0,,5.0,1958.0,1958.0,-53.0,2,0.5,-53.6,low_load,0.3071,0.5667,0.6266,0.76,0.5558,2
2026-08-22 19:18:02,37.56,73.33,instantaneous_fallback,131.75,243.0,,4.0,2036.0,2109.0,-54.5,2,-1.5,-53.7,low_load,0.2504,0.7333,0.6632,0.81,0.6342,2
2026-08-22 19:18:19,0.0,33.33,instantaneous,70.0,33.0,,0.0,0.0,0.0,-54.0,2,0.0,-54.0,medium_load,0.0,0.3333,0.0,0.11,0.1665,0
2026-08-22 19:18:24,28.86,56.67,instantaneous_fallback,98.0,108.0,,5.0,1431.2,1436.0,-54.5,2,-0.5,-54.25,medium_load,0.1924,0.5667,0.4588,0.36,0.4393,1
2026-08-22 19:18:29,43.53,48.28,instantaneous_fallback,83.0,115.0,,5.0,2369.6,2372.8,-54.0,2,0.5,-54.17,medium_load,0.2902,0.4828,0.7588,0.3833,0.4846,1
2026-08-22 19:18:34,46.02,100.0,delta,117.25,126.0,,5.0,1992.4,1996.4,-54.0,2,0.0,-54.12,medium_load,0.3068,1.0,0.6382,0.42,0.702,2
2026-08-22 19:18:38,36.08,63.33,instantaneous_fallback,164.667,152.0,,4.0,2032.5,2153.5,-53.5,2,0.5,-54.0,medium_load,0.2405,0.6333,0.6698,0.5067,0.5431,2
2026-08-22 19:18:55,34.77,58.62,instantaneous_fallback,51.5,20.0,,17.0,487.29,503.76,-54.5,2,-1.0,-54.1,medium_load,0.2318,0.5862,0.1586,0.0667,0.3519,1
