sample_id,timestep,throughput_mbps,channel_occupancy_percent,latency_ms,jitter_ms,tx_retries_delta,tx_failed_delta,rssi_dbm,rssi_delta_db,rssi_moving_avg_dbm,label,scenario
0,0,0.00016949870757235476,0.3500824958752063,0.310530679933665,0.25874125874125875,0.00034044871140162736,0.0003030578537442798,0.3058549373725605,0.6346153846153846,0.28851963746223563,0,normal_idle
0,1,0.0005932454765032417,0.5500224988750563,0.28316749585406303,0.3484848484848485,0.0004085384536819528,0.00036366942449313574,0.2912904165452957,0.5961538461538461,0.28610271903323264,0,normal_idle
0,2,0.00021187338446544346,0.20008999550022502,0.22996185737976782,0.26107226107226106,0.0,0.0,0.2912904165452957,0.6153846153846154,0.2845921450151056,0,normal_idle
0,3,0.0003389974151447095,0.3500824958752063,0.2827529021558872,0.35664335664335667,0.00013617948456065093,0.00012122314149771192,0.2767258957180309,0.5961538461538461,0.28096676737160114,0,normal_idle
0,4,0.023433196321878045,0.40002999850007503,0.5649535655058042,0.9393939393939394,0.11895277976372859,0.10588841409825135,0.20390329158170697,0.5192307692307693,0.26283987915407847,0,normal_idle
0,5,0.00025424806135853213,0.25003749812509374,0.11608623548922056,0.1282051282051282,0.0007489871650835802,0.0006667272782374155,0.20390329158170697,0.6153846153846154,0.24169184290030216,0,normal_idle
0,6,0.00046612144582397556,0.5500224988750563,0.07835820895522388,0.053613053613053616,0.0006128076805229292,0.0005455041367397036,0.21846781240897176,0.6346153846153846,0.22658610271903326,0,normal_idle
0,7,0.00012712403067926606,0.25003749812509374,0.24046434494195687,0.3333333333333333,0.0004085384536819528,0.00036366942449313574,0.20390329158170697,0.5961538461538461,0.20845921450151056,0,normal_idle
0,8,0.0003389974151447095,0.5000749962501875,0.46061359867330015,0.6573426573426573,0.0006808974228032547,0.0006061157074885596,0.21846781240897176,0.6346153846153846,0.1963746223564955,0,normal_idle
0,9,0.00016949870757235476,0.25003749812509374,0.25290215588723053,0.32284382284382285,0.00034044871140162736,0.0003030578537442798,0.23303233323623654,0.6346153846153846,0.20241691842900292,0,normal_idle
1,0,0.0005932454765032417,0.5500224988750563,0.28316749585406303,0.3484848484848485,0.0004085384536819528,0.00036366942449313574,0.2912904165452957,0.5961538461538461,0.28610271903323264,0,normal_idle
1,1,0.00021187338446544346,0.20008999550022502,0.22996185737976782,0.26107226107226106,0.0,0.0,0.2912904165452957,0.6153846153846154,0.2845921450151056,0,normal_idle
1,2,0.0003389974151447095,0.3500824958752063,0.2827529021558872,0.35664335664335667,0.00013617948456065093,0.00012122314149771192,0.2767258957180309,0.5961538461538461,0.28096676737160114,0,normal_idle
1,3,0.023433196321878045,0.40002999850007503,0.5649535655058042,0.9393939393939394,0.11895277976372859,0.10588841409825135,0.20390329158170697,0.5192307692307693,0.26283987915407847,0,normal_idle
1,4,0.00025424806135853213,0.25003749812509374,0.11608623548922056,0.1282051282051282,0.0007489871650835802,0.0006667272782374155,0.20390329158170697,0.6153846153846154,0.24169184290030216,0,normal_idle
1,5,0.00046612144582397556,0.5500224988750563,0.07835820895522388,0.053613053613053616,0.0006128076805229292,0.0005455041367397036,0.21846781240897176,0.6346153846153846,0.22658610271903326,0,normal_idle
1,6,0.00012712403067926606,0.25003749812509374,0.24046434494195687,0.3333333333333333,0.0004085384536819528,0.00036366942449313574,0.20390329158170697,0.5961538461538461,0.20845921450151056,0,normal_idle
1,7,0.0003389974151447095,0.5000749962501875,0.46061359867330015,0.6573426573426573,0.0006808974228032547,0.0006061157074885596,0.21846781240897176,0.6346153846153846,0.1963746223564955,0,normal_idle
1,8,0.00016949870757235476,0.25003749812509374,0.25290215588723053,0.32284382284382285,0.00034044871140162736,0.0003030578537442798,0.23303233323623654,0.6346153846153846,0.20241691842900292,0,normal_idle
1,9,0.00038137209203779817,0.40002999850007503,0.4709784411276949,0.36946386946386944,0.0008170769073639056,0.0007273388489862715,0.23303233323623654,0.6153846153846154,0.20845921450151056,0,normal_idle
2,0,0.00021187338446544346,0.20008999550022502,0.22996185737976782,0.26107226107226106,0.0,0.0,0.2912904165452957,0.6153846153846154,0.2845921450151056,0,normal_idle
2,1,0.0003389974151447095,0.3500824958752063,0.2827529021558872,0.35664335664335667,0.00013617948456065093,0.00012122314149771192,0.2767258957180309,0.5961538461538461,0.28096676737160114,0,normal_idle
2,2,0.023433196321878045,0.40002999850007503,0.5649535655058042,0.9393939393939394,0.11895277976372859,0.10588841409825135,0.20390329158170697,0.5192307692307693,0.26283987915407847,0,normal_idle
